epoch,accuracy,loss,val_accuracy,val_loss
0,0.5833333134651184,0.6778964400291443,0.25,1.2709124088287354
1,0.5833333134651184,0.7455888390541077,0.75,0.5085572600364685
2,0.4166666567325592,1.0209780931472778,0.75,0.4832698106765747
3,0.4166666567325592,0.5995888710021973,0.25,0.783024787902832
4,0.5833333134651184,0.5531931519508362,0.25,0.9876136779785156
5,0.5833333134651184,0.6048359870910645,0.25,0.8743906021118164
6,0.5833333134651184,0.5422183871269226,0.25,0.6306800842285156
7,0.6666666865348816,0.46935001015663147,1.0,0.4315241575241089
8,1.0,0.42779776453971863,1.0,0.33062809705734253
9,1.0,0.4124006927013397,1.0,0.2681693732738495
10,1.0,0.3102678060531616,1.0,0.25713780522346497
11,1.0,0.18868191540241241,1.0,0.23697102069854736
12,1.0,0.12949106097221375,1.0,0.02761780470609665
13,1.0,0.017989283427596092,1.0,0.003103744238615036
14,1.0,0.002851090393960476,1.0,0.0006053693359717727
15,1.0,0.0008046139846555889,1.0,0.0001787950750440359
16,1.0,0.0003192867443431169,1.0,7.438234752044082e-05
17,1.0,0.00016287040489260107,0.75,1.0327973365783691
18,0.4166666567325592,2.6008358001708984,1.0,4.413599890540354e-05
19,1.0,3.0755054467590526e-05,1.0,0.31005534529685974
20,1.0,0.09142755717039108,0.25,1.2978671789169312
21,0.5833333134651184,0.7085521221160889,0.25,6.76207160949707
22,0.5833333134651184,1.4599285125732422,0.25,0.5761401057243347
23,0.8333333134651184,0.28549838066101074,1.0,0.26765286922454834
24,1.0,0.13508962094783783,1.0,0.1089998111128807
25,1.0,0.05453396961092949,1.0,0.04337725788354874
26,1.0,0.020925844088196754,1.0,0.017937423661351204
27,1.0,0.00978127121925354,1.0,0.01192216482013464
28,1.0,0.005501293111592531,1.0,0.008207605220377445
0,0.5833333134651184,0.6825007796287537,0.75,0.4861166775226593
1,0.4166666567325592,0.8793807029724121,0.25,1.3547841310501099
2,0.5833333134651184,0.7689849734306335,0.25,1.0973302125930786
3,0.5833333134651184,0.6607798933982849,0.25,0.7035250663757324
4,0.5833333134651184,0.5473162531852722,1.0,0.5163341760635376
5,1.0,0.5668401718139648,1.0,0.45654937624931335
6,0.5833333134651184,0.5602056980133057,1.0,0.44647666811943054
7,1.0,0.4834696054458618,1.0,0.4913473129272461
8,1.0,0.40578460693359375,0.75,0.5605875253677368
9,0.9166666865348816,0.37544533610343933,1.0,0.3756440281867981
10,1.0,0.2508443295955658,1.0,0.08690723031759262
11,1.0,0.1063133254647255,1.0,0.01841103471815586
12,1.0,0.03523925319314003,1.0,0.002295611659064889
13,1.0,0.0031024329364299774,1.0,0.00046996091259643435
14,1.0,0.0005017573130317032,1.0,0.00013201501860748976
15,1.0,0.00011693677515722811,1.0,5.030488682677969e-05
16,1.0,4.141415047342889e-05,1.0,2.4318345822393894e-05
17,1.0,1.856658491306007e-05,1.0,1.3887765817344189e-05
18,1.0,9.874426723399665e-06,1.0,8.970449925982393e-06
19,1.0,6.556474545504898e-06,1.0,6.258463145059068e-06
20,1.0,4.460396212380147e-06,1.0,4.708753294835333e-06
21,1.0,3.0000926471984712e-06,1.0,3.695479335874552e-06
22,1.0,2.32457637139305e-06,1.0,3.3378532862116117e-06
23,1.0,2.195433125962154e-06,1.0,3.0696332942170557e-06
24,1.0,1.9470815004751785e-06,1.0,2.8014133022224996e-06
25,1.0,1.8974111526404158e-06,1.0,2.592797955003334e-06
26,1.0,1.758333951329405e-06,1.0,2.4139844754245132e-06
27,1.0,1.5795206991242594e-06,1.0,2.384182153036818e-06
28,1.0,1.490113959334849e-06,1.0,2.3245777356351027e-06
29,1.0,1.4503776810670388e-06,1.0,2.2649733182333875e-06
30,1.0,1.4603116369471536e-06,1.0,2.205368673457997e-06
31,1.0,1.4404434978132485e-06,1.0,2.1755663510703016e-06
32,1.0,1.3709050108445808e-06,1.0,2.1457642560562817e-06
33,1.0,1.410641289112391e-06,1.0,2.1457642560562817e-06
34,1.0,1.4205753586793435e-06,1.0,2.1159619336685864e-06
35,1.0,1.331168618889933e-06,1.0,2.1159619336685864e-06
36,1.0,1.3609709412776283e-06,1.0,2.1159619336685864e-06
37,1.0,1.4007072195454384e-06,1.0,2.1159619336685864e-06
38,1.0,1.3709050108445808e-06,1.0,2.1159619336685864e-06
39,1.0,1.311300479756028e-06,1.0,2.0861598386545666e-06
40,1.0,1.3013664101890754e-06,1.0,2.0861598386545666e-06
41,1.0,1.3411026884568855e-06,1.0,2.0861598386545666e-06
42,1.0,1.3013664101890754e-06,1.0,2.0563575162668712e-06
43,1.0,1.331168618889933e-06,1.0,2.0563575162668712e-06
44,1.0,1.3609709412776283e-06,1.0,2.0563575162668712e-06
45,1.0,1.3808390804115334e-06,1.0,2.0563575162668712e-06
46,1.0,1.3907732636653236e-06,1.0,2.0563575162668712e-06
47,1.0,1.3311687325767707e-06,1.0,2.0563575162668712e-06
48,1.0,1.331168618889933e-06,1.0,2.0563575162668712e-06
49,1.0,1.2914324543089606e-06,1.0,2.0563575162668712e-06
0,0.5833333134651184,0.6904022097587585,0.25,2.6051273345947266
1,0.5833333134651184,1.3851734399795532,0.25,0.8070842027664185
2,0.5833333134651184,0.5885791182518005,0.75,0.47583961486816406
3,0.4166666567325592,0.8318399786949158,0.75,0.47124454379081726
4,0.4166666567325592,0.6886221766471863,1.0,0.5620480179786682
5,1.0,0.5618859529495239,0.25,0.7485524415969849
6,0.5833333134651184,0.5521343350410461,0.25,0.891453742980957
7,0.5833333134651184,0.5828577876091003,0.25,0.8770110011100769
8,0.5833333134651184,0.5698547959327698,0.25,0.7289364337921143
9,0.5833333134651184,0.4988920986652374,0.25,0.626533031463623
10,0.6666666865348816,0.46471846103668213,1.0,0.5166854858398438
11,1.0,0.4254128038883209,1.0,0.4177629351615906
12,1.0,0.39904776215553284,1.0,0.34153273701667786
13,1.0,0.3754623830318451,1.0,0.2831459641456604
14,1.0,0.34090498089790344,1.0,0.2339175045490265
15,1.0,0.2699098587036133,1.0,0.19513994455337524
16,1.0,0.1782238483428955,1.0,0.16670671105384827
17,1.0,0.1135840192437172,1.0,0.11111541837453842
18,1.0,0.06543201208114624,1.0,0.0336141474545002
19,1.0,0.020628446713089943,1.0,0.0060302335768938065
20,1.0,0.004919128492474556,1.0,0.0013500249478965998
21,1.0,0.0015380257973447442,1.0,0.00043480441672727466
22,1.0,0.0005781051586382091,1.0,0.00018314531189389527
23,1.0,0.00026197050465270877,1.0,9.270955342799425e-05
24,1.0,0.00014277959417086095,1.0,5.358265116228722e-05
25,1.0,8.599497232353315e-05,1.0,3.412285150261596e-05
26,1.0,5.654291089740582e-05,1.0,2.345403663639445e-05
27,1.0,4.026190435979515e-05,1.0,1.7046721040969715e-05
28,1.0,2.834151564456988e-05,1.0,1.3023492101638112e-05
29,1.0,2.2351414372678846e-05,1.0,1.0311525329598226e-05
30,1.0,1.6917600078159012e-05,1.0,9.298260920331813e-06
31,1.0,1.5387779058073647e-05,1.0,8.493609129800461e-06
32,1.0,1.4692405784444418e-05,1.0,7.867767635616474e-06
33,1.0,1.3142712305125315e-05,1.0,7.301529876713175e-06
34,1.0,1.2586412594828289e-05,1.0,6.824697265983559e-06
35,1.0,1.1732093298633117e-05,1.0,6.645885150646791e-06
36,1.0,1.1285065738775302e-05,1.0,6.4670730353100225e-06
37,1.0,1.096717551263282e-05,1.0,6.318062332866248e-06
38,1.0,1.0808231309056282e-05,1.0,6.198854407557519e-06
39,1.0,1.0102920896315482e-05,1.0,6.049844159861095e-06
40,1.0,1.0897638276219368e-05,1.0,6.0200418374734e-06
41,1.0,1.0549949365667999e-05,1.0,5.930635779805016e-06
42,1.0,9.934045010595582e-06,1.0,5.900834366912022e-06
43,1.0,1.0202263183600735e-05,1.0,5.900834366912022e-06
44,1.0,1.0579751688055694e-05,1.0,5.8412301768839825e-06
45,1.0,9.804903129406739e-06,1.0,5.8412301768839825e-06
46,1.0,1.0043317161034793e-05,1.0,5.811428309243638e-06
47,1.0,9.25853328226367e-06,1.0,5.811428309243638e-06
48,1.0,9.824769222177565e-06,1.0,5.811428309243638e-06
49,1.0,9.83470363280503e-06,1.0,5.781625986855943e-06
